lo,hi,sat,excl
0.62,2.65,0.9927960734642178,0.1778812572759022
0.62,2.7,0.9930335655478151,0.17729918509895226
0.62,2.75,0.993350221659278,0.17706635622817224
0.62,2.8,0.993983533882204,0.1766006984866123
0.62,2.85,0.9944585180493983,0.17625145518044238
0.62,2.9,0.9949335022165928,0.17566938300349244
0.62,2.95,0.9950918302723243,0.17543655413271242
0.62,3.0,0.99517099430019,0.17532013969732252
0.62,3.05,0.9953293223559214,0.1750873108265425
0.62,3.1,0.9954084863837872,0.17450523864959255
0.62,3.15,0.9954084863837872,0.17427240977881253
0.62,3.2,0.995487650411653,0.17427240977881253
0.62,3.25,0.9955668144395187,0.17415599534342263
0.62,3.3,0.9955668144395187,0.17415599534342263
0.62,3.35,0.9957251424952501,0.1738067520372526
0.62,3.4,0.9957251424952501,0.1738067520372526
0.62,3.45,0.9957251424952501,0.1738067520372526
0.62,3.5,0.9958834705509816,0.1738067520372526
0.62,3.55,0.9959626345788474,0.1738067520372526
0.63,1.0,0.8848955034832172,0.41094295692665894
0.63,1.05,0.9412602913236225,0.3968568102444703
0.63,1.1,0.9482267257758075,0.38579743888242146
0.63,1.15,0.9501266624445852,0.36437718277066355
0.63,1.2,0.9514724509183027,0.3278230500582072
0.63,1.25,0.9520265991133628,0.28509895227008153
0.63,1.3,0.9522640911969601,0.2458672875436554
0.63,1.35,0.9523432552248259,0.22083818393480792
0.63,1.4,0.9523432552248259,0.209895227008149
0.63,1.45,0.9525015832805573,0.2071012805587893
0.63,1.5,0.9525015832805573,0.20558789289871948
0.63,1.55,0.9526599113362888,0.2045401629802095
0.63,1.6,0.953214059531349,0.2032596041909197
0.63,1.65,0.954084863837872,0.20081490104772992
0.63,1.7,0.9556681443951869,0.19965075669383003
0.63,1.75,0.9568556048131729,0.19825378346915012
0.63,1.8,0.9582013932868905,0.19708963911525024
0.63,1.85,0.9602596580113997,0.19580908032596045
0.63,1.9,0.9631095630145662,0.19476135040745057
0.63,1.95,0.9675427485750475,0.19324796274738065
0.63,2.0,0.9705509816339455,0.19220023282887078
0.63,2.05,0.9739550348321723,0.1910360884749709
