kind,lo,hi,sat,excl
two-sided,0.61,3.52,0.9959626345788474,0.16915017462165305
two-sided,0.61,3.54,0.9960417986067132,0.16915017462165305
two-sided,0.61,3.56,0.9960417986067132,0.16915017462165305
two-sided,0.61,3.58,0.9960417986067132,0.16915017462165305
two-sided,0.62,1.0,0.884974667511083,0.40442374854481955
two-sided,0.62,1.02,0.9238442051931602,0.39674039580908027
two-sided,0.62,1.04,0.9379354021532615,0.3918509895227008
two-sided,0.62,1.06,0.943239392020266,0.3890570430733411
two-sided,0.62,1.08,0.9467226092463584,0.3848661233993015
two-sided,0.62,1.1,0.9483058898036733,0.37927823050058207
two-sided,0.62,1.12,0.9493350221659278,0.3726426076833528
two-sided,0.62,1.14,0.9499683343888538,0.3623981373690338
two-sided,0.62,1.16,0.9504433185560481,0.3532013969732247
two-sided,0.62,1.18,0.9512349588347055,0.3369033760186263
two-sided,0.62,1.2,0.9515516149461685,0.32130384167636783
two-sided,0.62,1.22,0.9517891070297657,0.3044237485448196
two-sided,0.62,1.24,0.9518682710576314,0.2863795110593713
two-sided,0.62,1.26,0.9521849271690943,0.26926658905704304
two-sided,0.62,1.28,0.9523432552248259,0.2527357392316647
two-sided,0.62,1.3,0.9523432552248259,0.2393480791618161
two-sided,0.62,1.32,0.9523432552248259,0.22793946449359725
two-sided,0.62,1.34,0.9524224192526916,0.21827706635622812
two-sided,0.62,1.36,0.9524224192526916,0.21094295692665888
two-sided,0.62,1.38,0.9524224192526916,0.20605355064027941
two-sided,0.62,1.4,0.9524224192526916,0.2033760186263096
two-sided,0.62,1.42,0.952580747308423,0.2018626309662398
two-sided,0.62,1.44,0.952580747308423,0.2006984866123399
two-sided,0.62,1.46,0.952580747308423,0.20011641443538997
two-sided,0.62,1.48,0.952580747308423,0.1993015133876601
two-sided,0.62,1.5,0.952580747308423,0.1990686845168801
two-sided,0.62,1.52,0.952580747308423,0.19895227008149008
two-sided,0.62,1.54,0.952580747308423,0.19837019790454014
two-sided,0.62,1.56,0.9527390753641545,0.1977881257275902
two-sided,0.62,1.58,0.9529765674477517,0.19767171129220018
two-sided,0.62,1.6,0.9532932235592146,0.19674039580908032
two-sided,0.62,1.62,0.9536890436985433,0.19569266589057044
two-sided,0.62,1.64,0.9539265357821406,0.19476135040745057
two-sided,0.62,1.66,0.9547973400886637,0.19406286379511062
two-sided,0.62,1.68,0.9551139962001267,0.19359720605355069
two-sided,0.62,1.7,0.9557473084230526,0.19313154831199064
two-sided,0.62,1.72,0.95653894870171,0.1923166472642608
two-sided,0.62,1.74,0.9566972767574414,0.19208381839348077
