material_id,e_released_per_atom,L1,L2,L3,L4
gen_7524.cif,0.00381469726562,,,,
gen_7820.cif,0.0299852159288,,,,
gen_4753.cif,0.00252750941685,True,True,True,False
gen_4529.cif,0.0905624389648,,,,
gen_4309.cif,0,,,,
gen_7481.cif,0.00703582763672,True,True,True,False
gen_5395.cif,0.00203094482422,True,True,True,False
gen_8892.cif,0.0376378839666,,,,
gen_8794.cif,0.00134340922038,,,,
gen_9899.cif,0.0044559902615,True,True,False,False
gen_4618.cif,0.00972408718533,,,,
gen_6083.cif,0.0886068344116,True,True,True,False
gen_4382.cif,0.0655894809299,True,True,True,False
gen_9108.cif,7.12076822917e-05,,,,
gen_9676.cif,0.0100914001465,,,,
gen_7731.cif,0.00528049468994,,,,
gen_1650.cif,0.0239725112915,True,True,True,False
gen_5687.cif,0.0263857841492,True,True,True,False
gen_1921.cif,0,True,True,True,False
gen_513.cif,0.00643539428711,,,,
gen_3740.cif,0.0282855987549,,,,
gen_5217.cif,0,,,,
gen_5033.cif,0,,,,
gen_9216.cif,0.00101203918457,,,,
gen_3935.cif,0,,,,
gen_5090.cif,0.00634418834339,,,,
gen_6989.cif,0,,,,
gen_6284.cif,0.0241858164469,,,,
gen_7544.cif,0.0327525138855,,,,
gen_1454.cif,0.00698566436768,True,True,True,False
gen_6276.cif,0,,,,
gen_823.cif,0.0184282575335,True,True,True,False
gen_8826.cif,0.0001540184021,,,,
gen_8282.cif,0.0052604675293,True,True,True,False
gen_1540.cif,0,,,,
gen_8301.cif,0,,,,
gen_6031.cif,0.000140508015951,,,,
gen_1374.cif,0.00206813812256,True,True,True,False
gen_7409.cif,0,,,,
gen_381.cif,0.0246215820312,,,,
gen_632.cif,0.000192880630493,,,,
gen_276.cif,0.0177046457926,True,True,True,False
gen_680.cif,0.00470193227132,True,True,True,False
gen_3946.cif,0.0300776163737,,,,
gen_8423.cif,0.0407066345215,True,True,True,False
gen_7814.cif,0,True,True,True,False
gen_96.cif,0.0532638549805,,,,
gen_5184.cif,1.52587890625e-05,,,,
gen_7231.cif,0.0105520884196,,,,
gen_506.cif,0.00933837890625,True,True,True,False
gen_2546.cif,0.0312705039978,,,,
gen_3807.cif,0.00602188110352,True,True,True,False
gen_8992.cif,0.0243768692017,,,,
gen_875.cif,0.00535202026367,True,True,True,True
gen_3040.cif,0.0443816184998,,,,
gen_5701.cif,0,,,,
gen_1261.cif,0.00301284790039,True,True,True,False
gen_6170.cif,0.000411224365234,,,,
gen_5645.cif,0.000694274902344,,,,
gen_5842.cif,0,True,True,True,False
gen_3382.cif,0.0305306570871,True,True,True,False
gen_3076.cif,0.0364542643229,,,,
gen_8595.cif,0.0327775743273,True,True,True,False
gen_2870.cif,0.0204110145569,,,,
gen_9014.cif,0.00312232971191,,,,
gen_5282.cif,0.0187218983968,,,,
gen_6206.cif,0.00482273101807,True,True,True,False
gen_8598.cif,0.104279836019,,,,
gen_7368.cif,0,,,,
gen_8946.cif,0,,,,
gen_468.cif,0.00318241119385,True,True,True,False
gen_6316.cif,0.00294303894043,,,,
gen_5286.cif,0,,,,
gen_6505.cif,0.00464471181234,,,,
gen_9212.cif,0.00604756673177,,,,
gen_9029.cif,4.57763671875e-05,,,,
gen_5533.cif,0.000399708747864,,,,
gen_8538.cif,0,,,,
gen_318.cif,0.022669358687,,,,
gen_8447.cif,0.0338713328044,True,True,True,False
gen_3126.cif,0.000654602050781,True,True,True,False
gen_334.cif,0.000444412231445,,,,
gen_6071.cif,0.00568108809622,,,,
gen_2900.cif,0.00627072652181,,,,
gen_6895.cif,0.00988998413086,True,True,True,False
gen_1215.cif,0.0126397269113,True,True,True,False
gen_1615.cif,0.0339021682739,True,True,True,False
