direction,rule,axis,condition,k,n,p,lo,hi
forward,D1_804,dyn_stable,class true,6245,6469,0.9653733189055496,0.9606345419319774,0.9695597225660416
forward,D1_804,dyn_stable,class false,6939,7392,0.9387175324675324,0.93301865652607,0.943960661664213
reverse,D1_804,dyn_stable,rule accepts,6245,13184,0.47368021844660196,0.4651661333250936,0.4822096368366097
reverse,D1_804,dyn_stable,rule rejects,224,677,0.3308714918759232,0.29646937406309876,0.36718213094857044
forward,D1_804,made,class true,5488,5910,0.9285956006768189,0.9217484968402833,0.9348858981254272
forward,D1_804,made,class false,7696,7951,0.9679285624449755,0.9638242050543355,0.9715809866794454
reverse,D1_804,made,rule accepts,5488,13184,0.4162621359223301,0.40787343950866595,0.4246996159913926
reverse,D1_804,made,rule rejects,422,677,0.6233382570162481,0.5862389416208881,0.6590457686981128
forward,D7,on_hull,class true,4323,4651,0.92947753171361,0.9217596306097968,0.9364865707575287
forward,D7,on_hull,class false,8152,9210,0.8851248642779588,0.878451387629891,0.8914772063995512
reverse,D7,on_hull,rule accepts,4323,12475,0.34653306613226453,0.3382309707419368,0.3549296473622812
reverse,D7,on_hull,rule rejects,328,1386,0.23665223665223664,0.21502318220437322,0.25973705367215727
forward,D7,hull_50meV,class true,8449,9137,0.9247017620663237,0.9191109470452952,0.9299356133794915
forward,D7,hull_50meV,class false,4026,4724,0.8522438611346317,0.841838481088823,0.8620768318476923
reverse,D7,hull_50meV,rule accepts,8449,12475,0.6772745490981964,0.6690170369285874,0.6854229176613953
reverse,D7,hull_50meV,rule rejects,688,1386,0.4963924963924964,0.4701164862766599,0.5226884484613746
forward,D7,dyn_stable,class true,5735,6469,0.8865357860565776,0.8785765647480185,0.8940362099994643
forward,D7,dyn_stable,class false,6740,7392,0.9117965367965368,0.905115930670956,0.9180493621354646
reverse,D7,dyn_stable,rule accepts,5735,12475,0.4597194388777555,0.4509876907658619,0.4684759867464753
reverse,D7,dyn_stable,rule rejects,734,1386,0.5295815295815296,0.5032590222972111,0.5557405128509048
forward,D7,made,class true,5530,5910,0.9357021996615905,0.9291613360052546,0.9416770244513993
forward,D7,made,class false,6945,7951,0.8734750345868444,0.8659870260727879,0.8806023347264225
reverse,D7,made,rule accepts,5530,12475,0.4432865731462926,0.4345879766211256,0.4520200867420159
reverse,D7,made,rule rejects,380,1386,0.2741702741702742,0.2513334434196199,0.29825547118135015
forward,D8,on_hull,class true,4471,4651,0.9612986454525908,0.9553638947590606,0.966472012641989
forward,D8,on_hull,class false,8753,9210,0.9503800217155266,0.9457541824228806,0.9546303137807072
reverse,D8,on_hull,rule accepts,4471,13224,0.3380973986690865,0.3300826734016165,0.34620615926014453
reverse,D8,on_hull,rule rejects,180,637,0.282574568288854,0.24899352072742778,0.31876228503809173
forward,D8,hull_50meV,class true,8819,9137,0.9651964539783299,0.961238582369624,0.9687633259116686
forward,D8,hull_50meV,class false,4405,4724,0.9324724809483489,0.9249596799317379,0.9392824981507746
reverse,D8,hull_50meV,rule accepts,8819,13224,0.6668935269207501,0.6588129194030032,0.6748772003146488
reverse,D8,hull_50meV,rule rejects,318,637,0.49921507064364207,0.46050807406539435,0.5379314775799686
forward,D8,dyn_stable,class true,6117,6469,0.945586643994435,0.9397899635175881,0.9508544368861788
forward,D8,dyn_stable,class false,7107,7392,0.9614448051948052,0.9568106739294441,0.965599580263296
reverse,D8,dyn_stable,rule accepts,6117,13224,0.46256805807622503,0.454082165407818,0.4710756917465826
reverse,D8,dyn_stable,rule rejects,352,637,0.5525902668759811,0.513776708474836,0.5907733312858505
forward,D8,made,class true,5651,5910,0.956175972927242,0.9506540363248586,0.9611052723318946
forward,D8,made,class false,7573,7951,0.9524588102125519,0.9475590405016736,0.9569215877102002
reverse,D8,made,rule accepts,5651,13224,0.4273290986085904,0.4189199857720576,0.43578041973375853
reverse,D8,made,rule rejects,259,637,0.4065934065934066,0.36911895481439616,0.4451876909837874
forward,L4core,on_hull,class true,3927,4651,0.8443345517093098,0.8336317553221985,0.8544690163873243
forward,L4core,on_hull,class false,7396,9210,0.8030401737242128,0.7947923014543926,0.8110353573942606
reverse,L4core,on_hull,rule accepts,3927,11323,0.3468162147840678,0.3381028278170476,0.3556335052452871
reverse,L4core,on_hull,rule rejects,724,2538,0.285263987391647,0.26803175560101655,0.30314527583126105
forward,L4core,hull_50meV,class true,7713,9137,0.8441501586954142,0.8365684877972219,0.8514425698643531
forward,L4core,hull_50meV,class false,3610,4724,0.7641828958509738,0.7518658489120655,0.776070635790321
reverse,L4core,hull_50meV,rule accepts,7713,11323,0.6811798993199683,0.6725360563680737,0.6897008492085308
reverse,L4core,hull_50meV,rule rejects,1424,2538,0.5610717100078803,0.5416870775461264,0.5802717483768038
forward,L4core,dyn_stable,class true,5222,6469,0.8072345030143763,0.7974406209235909,0.8166637141336464
forward,L4core,dyn_stable,class false,6101,7392,0.8253517316017316,0.8165283051393469,0.8338371775148716
reverse,L4core,dyn_stable,rule accepts,5222,11323,0.46118519826901,0.4520181743765527,0.4703785499710381
reverse,L4core,dyn_stable,rule rejects,1247,2538,0.4913317572892041,0.4719101195142299,0.5107795955160638
forward,L4core,made,class true,4889,5910,0.8272419627749577,0.817392119238127,0.8366666726543657
forward,L4core,made,class false,6434,7951,0.8092063891334423,0.8004211466550171,0.8176929949596853
reverse,L4core,made,rule accepts,4889,11323,0.4317760310871677,0.42267729400431003,0.4409210440127863
reverse,L4core,made,rule rejects,1021,2538,0.4022852639873917,0.38336951399145014,0.4214963645318615
