tau,sat,excl,S1,S2,S3,S4,S5
0.76,0.9851171627612413,0.3313154831199069,0.31092436974789917,0.39737274220032837,0.9018372703412073,0.002409638554216831,0.025223331581713082
0.765,0.9841671944268524,0.33899883585564605,0.3345588235294118,0.40886699507389157,0.9044619422572179,0.002409638554216831,0.026274303730951076
0.77,0.9833755541481951,0.3477299185098952,0.35924369747899154,0.42610837438423643,0.9070866141732283,0.002409638554216831,0.02732527588018918
0.775,0.9825839138695377,0.35739231664726423,0.38655462184873945,0.44252873563218387,0.9102362204724409,0.002409638554216831,0.029952706253284278
0.78,0.9807631412286257,0.3674039580908033,0.41334033613445376,0.45730706075533667,0.9170603674540683,0.002409638554216831,0.03205465055176038
0.785,0.9790215326155794,0.3774155995343422,0.43960084033613445,0.4770114942528736,0.9202099737532808,0.002409638554216831,0.03520756699947447
0.79,0.9775965801139962,0.3875436554132713,0.4695378151260504,0.49096880131362886,0.9244094488188976,0.002409638554216831,0.03783499737256968
0.795,0.9753008233058899,0.3959254947613504,0.49264705882352944,0.5049261083743842,0.9270341207349081,0.002409638554216831,0.04098791382028377
0.8,0.9728467384420519,0.4064027939464494,0.5215336134453781,0.5262725779967159,0.9291338582677166,0.002409638554216831,0.04361534419337887
0.805,0.9697593413552882,0.4157159487776484,0.5514705882352942,0.5377668308702792,0.9301837270341208,0.002409638554216831,0.04729374671571207
0.81,0.9661177960734643,0.42817229336437723,0.5866596638655462,0.5574712643678161,0.9349081364829397,0.002409638554216831,0.05097214923804516
0.815,0.9631095630145662,0.43771827706635624,0.6123949579831933,0.5755336617405583,0.937007874015748,0.002409638554216831,0.05465055176037836
0.82,0.9585180493983534,0.4466821885913853,0.6355042016806722,0.5927750410509032,0.9396325459317585,0.002409638554216831,0.058328954282711454
0.825,0.9548765041165295,0.45890570430733413,0.6670168067226891,0.6157635467980296,0.9412073490813648,0.002409638554216831,0.06568575932737786
0.83,0.9503641545281823,0.4690337601862631,0.6927521008403361,0.6346469622331692,0.9433070866141733,0.003012048192771122,0.07094062007356805
0.835,0.9456143128562381,0.4784633294528522,0.7179621848739496,0.6543513957307061,0.9454068241469816,0.003012048192771122,0.07356805044666315
0.84,0.9386478784040532,0.49010477299185096,0.7436974789915967,0.6773399014778325,0.946981627296588,0.003012048192771122,0.08407777193904364
0.845,0.9311272957568081,0.49790454016298025,0.766281512605042,0.687192118226601,0.946981627296588,0.003012048192771122,0.09038360483447183
0.85,0.9244775174160861,0.5073341094295692,0.7904411764705882,0.7011494252873562,0.9485564304461942,0.0036144578313253017,0.09774040987913823
0.855,0.9173527549081697,0.5143189755529686,0.8046218487394958,0.7167487684729064,0.9490813648293963,0.0036144578313253017,0.10457172884918553
0.86,0.9078530715642812,0.5227008149010477,0.8224789915966386,0.7282430213464697,0.9501312335958005,0.0036144578313253017,0.11613242249080402
