task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,candidate_id,role,pss,uma_bulk_modulus_gpa,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E4-candidate_0313,E4,complete,,Ir5Os11,16,520.0,196,candidate_0313,priority,0.28054793971167036,416.97644763860154,-166.74265278,-10.42141579875,230.93305563374417,0.001196989999998621,10,True,493.505,False,-166.74274525,-10.421421578125,230.93305563374417,0.0,1,False,102.024,False
E4-candidate_0320,E4,complete,,Re6Ir8W,15,520.0,128,candidate_0320,screened,-0.7476025485281531,319.85769980688207,-157.53936215,-10.502624143333332,230.35602702079854,0.013552543333332778,16,True,653.063,False,-157.53782697,-10.502521798,230.35602702079854,0.0,1,False,85.097,False
E4-candidate_0330,E4,complete,,IrOs3,4,520.0,648,candidate_0330,priority,0.2784471758815492,400.0689048486388,-42.21069663,-10.5526741575,57.657990880738794,0.000135345000000342,3,True,40.442,False,-42.19979609,-10.5499490225,57.657990880738794,0.0,1,False,21.602,False
E4-candidate_0331,E4,complete,,Ir5Os11,16,520.0,196,candidate_0331,priority,0.279214363869438,416.6979107383102,-166.74869163,-10.421793226875,230.79498683111774,0.0013281037499996984,8,True,394.29,False,-166.74205858,-10.42137866125,230.79498683111774,0.0,1,False,93.693,False
E4-candidate_0332,E4,complete,,IrOs4,5,520.0,363,candidate_0332,control,0.7337737080611444,387.3497241060197,-53.37116356,-10.674232712,72.13989727715399,0.0004161159999995334,6,True,66.264,False,-53.34549385,-10.66909877,72.13989727715399,0.0,1,False,18.642,False
E4-candidate_0336,E4,complete,,Re5Ir4,18,520.0,128,candidate_0336,screened,-0.7143268569758725,320.16356574272135,-195.68502876,-10.871390486666666,273.0376171379226,0.01815026555555556,17,True,1240.8,False,-195.68349793,-10.871305440555554,273.0376171379226,0.0,1,False,190.892,False
E4-candidate_0339,E4,complete,,IrOs3,4,520.0,539,candidate_0339,priority,0.2627098099232428,400.94745796844614,-42.51014667,-10.6275366675,57.54822549434929,0.0005208474999989221,8,True,59.335,False,-42.50854981,-10.6271374525,57.54822549434929,0.0,1,False,18.079,False
E4-candidate_0342,E4,complete,,ReOs3,4,520.0,462,candidate_0342,priority,-0.5245485402398359,400.4851582314579,-46.36235927,-11.5905898175,57.995883459802826,0.0008693050000001534,7,True,69.171,False,-46.36146342,-11.590365855,57.995883459802826,0.0,1,False,18.178,False
E4-candidate_0343,E4,complete,,IrOs,12,520.0,168,candidate_0343,priority,1.049519583443765,409.68963353587446,-120.34439536,-10.028699613333332,173.26613881699544,0.0004615933333328807,8,True,139.191,False,-120.34675873,-10.028896560833333,173.26613881699544,0.0,1,False,39.251,False
E4-candidate_0355,E4,complete,,Ir2Os,12,520.0,168,candidate_0355,priority,1.0576734440507987,416.5712976755134,-115.4383888,-9.619865733333333,173.70915498301227,0.0019705874999994912,13,True,209.851,False,-115.40320826,-9.616934021666667,173.70915498301227,0.0,1,False,23.31,False
E4-candidate_0357,E4,complete,,Re5(Ir2Os3)3,20,520.0,126,candidate_0357,control,-0.5435687418387056,386.12703433429743,-218.89192661,-10.944596330500001,290.01881573018,0.0032506660000009902,10,True,690.633,False,-218.8882298,-10.94441149,290.01881573018,0.0,1,False,151.972,False
E4-candidate_0367,E4,complete,,IrOs3,16,520.0,196,candidate_0367,priority,0.8680993606440656,421.22518372156924,-169.11054383,-10.569408989375,230.6103177967009,0.0009471112500012424,8,True,397.354,False,-169.11391368,-10.569619605,230.6103177967009,0.0,1,False,105.188,False
E4-candidate_0369,E4,complete,,IrOs3,8,520.0,256,candidate_0369,control,1.045862993564568,383.3257906442982,-84.44227797,-10.55528474625,115.32248105309309,0.00047476750000008394,13,True,153.192,False,-84.45418309,-10.55677288625,115.32248105309309,0.0,1,False,29.078,False
E4-candidate_0370,E4,complete,,Cr3Os13,16,520.0,196,candidate_0370,priority,1.1585917410627256,420.03481994589384,-173.66802533,-10.854251583125,223.21762314544742,0.0003375987500007227,9,True,985.665,False,-173.66914733,-10.854321708125,223.21762314544742,0.0,1,False,288.279,False
E4-candidate_0374,E4,complete,,Ir7Os5,12,520.0,192,candidate_0374,priority,-0.5041182958500053,400.74125261840004,-117.83583169,-9.819652640833334,173.46610579365634,0.0009070525000005603,8,True,189.558,False,-117.83575161,-9.8196459675,173.46610579365634,0.0,1,False,44.779,False
E4-candidate_0376,E4,complete,,ReOs5,12,520.0,196,candidate_0376,priority,-0.5394506711894144,420.8132960018495,-136.79447592,-11.39953966,173.9412562859556,0.0009839583333336084,9,True,276.875,False,-136.79379531,-11.3994829425,173.9412562859556,0.0,1,False,61.85,False
E4-candidate_0377,E4,complete,,IrOs2,6,520.0,343,candidate_0377,priority,1.5753145217182007,401.922128248243,-62.68666408,-10.447777346666667,86.34849348565749,0.0003313216666664213,8,True,73.462,False,-62.69108855,-10.448514758333333,86.34849348565749,0.0,1,False,19.777,False
E4-candidate_0383,E4,complete,,Ir4OsRuW4,10,520.0,252,candidate_0383,screened,-0.6479950960649324,344.55076931611376,-108.83782639,-10.883782639,150.72341545593773,0.0035819450000005304,13,True,257.26,False,-108.83927713,-10.883927713,150.72341545593773,0.0,1,False,46.101,False
E4-candidate_0388,E4,complete,,ReOs,10,520.0,198,candidate_0388,priority,-0.5711806825511836,412.9511350529911,-118.1458786,-11.81458786,147.02754296725928,0.003210995999999966,22,True,351.988,False,-118.14412691,-11.814412691,147.02754296725928,0.0,1,False,47.541,False
E4-candidate_0393,E4,complete,,Ir4W,15,520.0,144,candidate_0393,control,1.317127085690156,301.5424283625603,-146.54109982,-9.769406654666666,231.52674829268489,0.005867828666667189,7,True,227.147,False,-146.53324199,-9.768882799333333,231.52674829268489,0.0,1,False,57.831,False
E4-candidate_0396,E4,complete,,ReOs5,6,520.0,343,candidate_0396,priority,1.042829241458977,400.4138234700916,-68.86570525,-11.477617541666667,86.66630802699522,0.0002759516666680876,7,True,76.987,False,-68.86855609,-11.478092681666666,86.66630802699522,0.0,1,False,22.076,False
E4-candidate_0397,E4,complete,,ReOs7,16,520.0,144,candidate_0397,priority,1.2370665438992354,428.0691363194475,-181.03024206,-11.31439012875,231.55945034444744,0.0008848431250001454,16,True,619.917,False,-181.03879571,-11.314924731875,231.55945034444744,0.0,1,False,108.746,False
