task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,parent,kind,variant,relax_ions_fixed_cell.energy_ev,relax_ions_fixed_cell.energy_ev_per_atom,relax_ions_fixed_cell.volume_a3,relax_ions_fixed_cell.release_ev_per_atom,relax_ions_fixed_cell.n_ionic_steps,relax_ions_fixed_cell.converged,relax_ions_fixed_cell.elapsed_s,relax_ions_fixed_cell.close_ions_warning,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E3-gnome-16185cb132,E3,complete,,Ti2AlW2C3,16,520.0,242,16185cb132,gnome,P0,-153.93209727,-9.620756079375,187.93069145736413,1.0065000001446833e-05,2,True,210.183,False,-153.93255144,-9.620784465,187.63472058294144,2.8635625000106302e-05,3,True,290.369,False,-153.92811859,-9.620507411875,187.63472058294144,0.0,1,False,44.755,False
E3-gnome-195425d136,E3,complete,,CaPmCdIn,4,520.0,343,195425d136,gnome,P0,-11.72781455,-2.9319536375,113.80421407981065,0.0,1,True,32.762,False,-11.72781455,-2.9319536375,113.80421407981065,0.0,1,True,32.722,False,-11.71864205,-2.9296605125,113.80421407981065,0.0,1,False,11.532,False
E3-gnome-1c2831771d,E3,complete,,Dy9Y3(TcIr)2,16,520.0,80,1c2831771d,gnome,P0,-104.03941033,-6.502463145625,429.11224076487696,0.00037821437499996335,6,True,455.188,False,-104.04062143,-6.502538839375,427.79280827335236,7.574812499999695e-05,2,True,253.335,False,-104.03579385,-6.502237115625,427.79280827335236,0.0,1,False,163.848,False
E3-gnome-2190cc44da,E3,complete,,Tb9Y3(OsRh)2,16,520.0,80,2190cc44da,gnome,P0,-103.42940356,-6.4643377225,433.3412591778728,0.00016752062500025033,8,True,607.86,False,-103.43967948,-6.4649799675,433.22423122293964,0.0006422912499992606,9,True,756.36,False,-103.4386924,-6.464918275,433.22423122293964,0.0,1,False,179.678,False
E3-gnome-2245563081,E3,complete,,ScFeCoMoP2,12,520.0,200,2245563081,gnome,P0,-97.20532613,-8.100443844166668,153.3874327933775,0.00010747250000046431,4,True,191.286,False,-97.20653917,-8.100544930833333,153.28409088050668,0.00010160833333353973,15,True,465.351,False,-97.20651136,-8.100542613333333,153.28409088050668,0.0,1,False,46.657,False
E3-gnome-2446f0e8d9,E3,complete,,DyHo3(TmSn)6,16,520.0,80,2446f0e8d9,gnome,P0,-79.35901078,-4.95993817375,442.29601938771606,8.907125000057192e-05,5,True,397.171,False,-79.36045942,-4.96002871375,441.54422597242535,9.052874999948557e-05,4,True,328.052,False,-79.36625793,-4.960391120625,441.54422597242535,0.0,1,False,196.829,False
E3-gnome-246bffd300,E3,complete,,ThNp(TeAs)2,6,520.0,196,246bffd300,gnome,P0,-41.29396568,-6.8823276133333335,160.18881684463204,0.00732972833333297,10,True,511.778,False,-41.29545045,-6.882575074999999,159.90654077316566,0.00024785166666655795,10,True,549.828,False,-41.29667047,-6.882778411666667,159.90654077316566,0.0,1,False,396.499,False
E3-gnome-24dfbfa4b6,E3,complete,,HoEr2MgCd2Au3,9,526.0,200,24dfbfa4b6,gnome,P0,-32.29808182,-3.5886757577777777,203.69559927721448,0.0006928322222224084,4,True,168.092,False,-32.33932829,-3.5932586988888886,202.95904398772043,0.00458298888888859,16,True,618.831,False,-32.33523372,-3.5928037466666662,202.95904398772043,0.0,1,False,42.18,False
E3-gnome-25c316ed15,E3,complete,,La3TbNi2(AsSe)2,10,520.0,128,25c316ed15,gnome,P0,-61.16232477,-6.116232477,229.08991671347442,0.0001098649999995871,7,True,359.208,False,-61.16269428,-6.116269428,229.81978097697487,3.7097999999957665e-05,2,True,171.176,False,-61.17349304,-6.117349303999999,229.81978097697487,0.0,1,False,60.53,False
E3-gnome-2afa0c9849,E3,complete,,CoB2MoW,5,520.0,880,2afa0c9849,gnome,P0,-46.7509048,-9.35018096,51.91006321564943,9.287600000078556e-05,3,True,90.377,False,-46.75399995,-9.35079999,51.520222582603516,0.0006191000000001168,4,True,127.721,False,-46.75357167,-9.350714334,51.520222582603516,0.0,1,False,55.612,False
E3-gnome-2ca382138b,E3,complete,,Tb2ThSc2AlRh3,9,520.0,175,2ca382138b,gnome,P0,-61.5360369,-6.837337433333333,193.85215292475658,0.0001413355555557574,5,True,164.706,False,-61.53882277,-6.837646974444445,193.93421226533115,0.00030951555555623774,7,True,269.515,False,-61.5374252,-6.837491688888889,193.93421226533115,0.0,1,False,40.364,False
E3-gnome-2ce4cf96b0,E3,complete,,Ho3Mg2ZnGa2Hg,9,526.0,175,2ce4cf96b0,gnome,P0,-28.14803321,-3.1275592455555556,199.1531991394324,3.840999999995789e-05,3,True,96.712,False,-28.1501696,-3.127796622222222,198.53660632134884,0.00023739444444477917,7,True,210.821,False,-28.14850145,-3.1276112722222225,198.53660632134884,0.0,1,False,31.325,False
E3-gnome-2f7949e9f9,E3,complete,,Ce4Pr3Nd3Ru4,14,520.0,100,2f7949e9f9,gnome,P0,-92.69823065,-6.621302189285714,400.35613122427156,0.0006670057142861603,8,True,1618.614,False,-92.70295221,-6.621639443571429,398.16655336284055,0.00033685857142882824,7,True,1513.948,False,-92.70849139,-6.622035099285715,398.16655336284055,0.0,1,False,430.314,False
E3-gnome-312167ea8b,E3,complete,,Sc6As5Se,12,520.0,135,312167ea8b,gnome,P0,-81.70189652,-6.808491376666667,246.8573994556324,0.00016092000000019388,5,True,138.906,False,-81.70494972,-6.8087458100000005,248.03027838284177,0.00025444833333310157,5,True,156.476,False,-81.71486811,-6.8095723425,248.03027838284177,0.0,1,False,62.933,False
