feature,higher_more_stable,coverage,accuracy,n_groups
mad_range,False,0.9669417312633394,0.547838037773639,776
p2_max_dev,False,0.5034406094664087,0.5477081458404713,449
ecc_max,True,0.9941765379264023,0.547644804024991,793
mad_an_mean,False,0.9990577889447236,0.54615175634548,796
density,False,0.9796954877709977,0.5455889768969115,782
vol_per_atom,True,0.9797309551417919,0.5455445307207519,782
sg_num_01,False,0.9251798100539604,0.5453561602978195,746
sg_num_001,False,0.9232476327757555,0.5447001747352228,746
mad_std,False,0.9699853584903836,0.5412582457163396,778
cn_an_mean,False,0.5656079365399269,0.5406214459659135,502
rep9_ca_pa,False,0.9683154399155605,0.5388024597746204,771
p3_has_face,False,0.19357130471397507,0.5375843989819437,197
bl_rsd_max,True,0.993064679151227,0.5370681960535449,793
bl_mean,False,0.9989920843557955,0.5343621328197151,796
repexp_ca_pa,False,0.9683477411648165,0.5331164469793526,771
mad_min,True,1.0,0.5318688931687663,796
dist_rsd_max,True,0.9931059635832149,0.5311561325118647,793
aa_mean,True,0.9972221136474504,0.5257887942940991,795
madz_mean,False,0.9993326005025126,0.5257411535270853,796
angvar_max,False,0.9937861035221488,0.5256290935599908,792
cn_an_span,False,0.36102005707509854,0.5242603135692586,340
mef_min,True,0.9994067274372349,0.5203633032493936,796
mad_cat_mean,True,1.0,0.5197771109449327,796
bl_cat_max,False,0.9992345946643284,0.5187325716142478,796
mef_mean,False,0.9998822236180904,0.5184431860980898,796
mef_max,False,0.9981382082432183,0.5166783417874028,795
dist_rsd,True,0.9931086769339861,0.5154636145924847,793
bl_min,True,0.9993171673889168,0.5124328411233485,796
cn_an_std,False,0.41766037613084345,0.5116499492603315,379
p3_n_face_per_cat,True,0.5278275930095131,0.5071154939126965,464
ewald_per_atom,False,1.0,0.5025877461152575,796
aa_min,True,0.9974045250653195,0.5020079117203308,795
aa_min,False,0.9974045250653195,0.4979920882796693,795
ewald_per_atom,True,1.0,0.49741225388474253,796
p3_n_face_per_cat,False,0.5278275930095131,0.4928845060873035,464
cn_an_std,True,0.41766037613084345,0.4883500507396686,379
bl_min,False,0.9993171673889168,0.48756715887665136,796
dist_rsd,False,0.9931086769339861,0.48453638540751537,793
mef_max,True,0.9981382082432183,0.4833216582125971,795
mef_mean,True,0.9998822236180904,0.48155681390191024,796
bl_cat_max,True,0.9992345946643284,0.48126742838575215,796
mad_cat_mean,False,1.0,0.48022288905506727,796
mef_min,False,0.9994067274372349,0.4796366967506064,796
cn_an_span,True,0.36102005707509854,0.4757396864307414,340
angvar_max,True,0.9937861035221488,0.4743709064400093,792
madz_mean,True,0.9993326005025126,0.4742588464729148,796
aa_mean,False,0.9972221136474504,0.4742112057059009,795
dist_rsd_max,False,0.9931059635832149,0.4688438674881354,793
mad_min,False,1.0,0.46813110683123366,796
repexp_ca_pa,True,0.9683477411648165,0.4668835530206474,771
bl_mean,True,0.9989920843557955,0.4656378671802849,796
bl_rsd_max,False,0.993064679151227,0.4629318039464551,793
p3_has_face,True,0.19357130471397507,0.46241560101805645,197
rep9_ca_pa,True,0.9683154399155605,0.4611975402253796,771
cn_an_mean,True,0.5656079365399269,0.4593785540340864,502
mad_std,True,0.9699853584903836,0.45874175428366015,778
sg_num_001,True,0.9232476327757555,0.4552998252647772,746
sg_num_01,True,0.9251798100539604,0.4546438397021804,746
vol_per_atom,False,0.9797309551417919,0.4544554692792481,782
density,True,0.9796954877709977,0.45441102310308845,782
mad_an_mean,True,0.9990577889447236,0.45384824365452,796
ecc_max,False,0.9941765379264023,0.45235519597500906,793
p2_max_dev,True,0.5034406094664087,0.4522918541595286,449
mad_range,True,0.9669417312633394,0.45216196222636096,776
p5_ok,False,0.1555201758889625,0.45137157063944433,161
mad_max,True,0.9999607412060302,0.4499740643805952,796
madz_range,True,0.96536091049282,0.4483803487033893,775
econ_std,True,0.9451184399379874,0.44786818840620596,763
p2_frac_ok_010,False,0.352129571850309,0.447773806041714,334
ecc_mean,False,0.9954424902289224,0.4445051220793763,794
p5_max_distinct,True,0.17126059429831775,0.4437083029641156,172
strain2_ca_pa,True,0.9685929648241206,0.4431057812971006,771
p2_mean_dev,True,0.5370702535424411,0.43913197306255175,474
p5_n_distinct,True,0.17646518869889202,0.4384535688058403,176
sh_pack,True,0.991137186556145,0.43756167794945916,790
madz_std,True,0.9684045377198643,0.43700939215771223,777
mef_absmax,True,0.9993960204934249,0.4328116636878833,796
phi_min,True,0.9563140259114732,0.42909874199246184,762
phi_mean,True,0.9575854049155355,0.4287307273151195,763
econ_min,True,0.8367922230548054,0.42502849340840526,685
p2_n_bad_per_an,True,0.327300945176672,0.4245083983733132,305
angvar_mean,True,0.999034524474223,0.4221546103600518,796
rep9_aa_pa,True,0.958223216514538,0.4213346890239947,764
repexp_aa_pa,True,0.9582162589698244,0.41992444345283547,764
wyckoff_econ_001,True,0.7492245568550663,0.4174842628905419,638
wyckoff_econ_01,True,0.748641340344328,0.41675953025455004,637
repexp_cc_pa,True,0.11086932059095508,0.4164223233810863,97
cn_an_max,True,0.45988384896962764,0.4154044256787155,427
p3_frac_face,True,0.4494981736254992,0.4099001756752563,391
csys_rank_001,True,0.6447229677492671,0.4061127650317829,566
econ_mean,True,0.9982164157412021,0.40497979291329356,796
cn_cat_min,True,0.3443282835824015,0.4026465807271014,330
cn_cat_range_norm,True,0.39077181788521603,0.4022183770179616,346
rep9_cc_pa,True,0.11086932059095508,0.4009584058553131,97
frac_corner,False,0.3408389799654858,0.4005692877514153,302
p3_frac_edge_face,True,0.3408389799654858,0.4005692877514153,302
poly_deg_max,False,0.6339569399408824,0.4002041463644572,554
poly_deg_mean,False,0.6643974499286697,0.3996091785280497,574
pair_per_cat,False,0.6643974499286697,0.3996091785280497,574
cn_cat_std,True,0.38572573039389224,0.3889525827797254,344
cn_cat_span,True,0.33147253866811155,0.38816000766589365,306
econ_max,True,0.9910632454518191,0.3853822112701923,792
p4_n_viol_per_cat,False,0.4353154388011566,0.3833805229231528,383
min_opp_frac,False,0.21352461774655415,0.3760467303162116,216
frac_like_bonds,True,0.23862680988824736,0.3741320966102489,235
frac_isolated,True,0.11723836811855687,0.37367641665519513,126
bv_max_abs,True,0.7934281245750413,0.3650947879765048,632
bv_mean_abs,True,0.8107271195499156,0.3560570912393446,646
bv_frac_bad,True,0.5448724751518971,0.35466353069974005,496
bv_rel_mean,True,0.815239975525576,0.3540714362954488,649
gii,True,0.8178256292260437,0.35357571181446484,651
mean_cn_cat,True,0.543615532644295,0.3530879674446336,484
p4_violate,False,0.1392854721539875,0.35182962631238496,145
bv_rel_max,True,0.7846368680765664,0.3504777597416681,625
cn_cat_max,True,0.45826115372842685,0.33026941175660013,419
cat_an_ratio,True,0.0,,0
cat_an_ratio,False,0.0,,0
n_cat_el,True,0.0,,0
n_cat_el,False,0.0,,0
z_cat_max,True,0.0,,0
z_cat_max,False,0.0,,0
z_cat_mean,True,0.0,,0
z_cat_mean,False,0.0,,0
