score,rule_set,score_band,n,score_min,score_median,score_max,pass_rate,explicit_violation_rate,no_verdict_rate
CLscore_jang,L2,Q2,36444,0.000229,0.001092,0.003191,0.0032652837229722315,5.487871803314675e-05,0.9966798375589946
CLscore_jang,L2,Q3,36439,0.003192,0.006756,0.011627,0.007766404127445868,0.0002744312412525042,0.9919591646313016
CLscore_jang,L2,Q4,36439,0.011628,0.01842,0.027861,0.015258377013639232,0.0006311918548807596,0.98411043113148
CLscore_jang,L2,Q5,36442,0.027862,0.0409,0.058349,0.01890675594094726,0.0007957850831458208,0.9802974589759069
CLscore_jang,L2,Q6,36441,0.05835,0.081547,0.111298,0.019538431985949893,0.002799045031695069,0.977662522982355
CLscore_jang,L2,Q7,36442,0.111299,0.14902949999999998,0.194955,0.022611272707315735,0.009192689753581033,0.9681960375391032
CLscore_jang,L2,Q8,36440,0.194956,0.249841,0.311309,0.03512623490669594,0.030159165751920965,0.9347145993413831
CLscore_jang,L2,Q9,36441,0.311313,0.382649,0.466992,0.05213907411981011,0.058148788452567164,0.8897121374276228
CLscore_jang,L2,Q10,36442,0.466993,0.580376,0.983603,0.0634158388672411,0.07636792711706274,0.8602162340156961
CLscore_jang,L4,Q1,36443,0.0,1.5e-05,0.000228,0.0,0.5016601267733173,0.4983398732266828
CLscore_jang,L4,Q2,36444,0.000229,0.001092,0.003191,0.0,0.4749204258588519,0.525079574141148
CLscore_jang,L4,Q3,36439,0.003192,0.006756,0.011627,0.0,0.5132138642663081,0.48678613573369195
CLscore_jang,L4,Q4,36439,0.011628,0.01842,0.027861,2.7443124125250417e-05,0.5192787946979884,0.48069376217788634
CLscore_jang,L4,Q5,36442,0.027862,0.0409,0.058349,8.232259480818836e-05,0.5142143680368805,0.4857033093683113
CLscore_jang,L4,Q6,36441,0.05835,0.081547,0.111298,0.0002469745616201531,0.5185642545484481,0.48118877088993167
CLscore_jang,L4,Q7,36442,0.111299,0.14902949999999998,0.194955,0.0008506668130179463,0.542835190165194,0.456314143021788
CLscore_jang,L4,Q8,36440,0.194956,0.249841,0.311309,0.001207464324917673,0.5515642151481888,0.44722832052689354
CLscore_jang,L4,Q9,36441,0.311313,0.382649,0.466992,0.002497187234159326,0.544661233226311,0.45284157953952964
CLscore_jang,L4,Q10,36442,0.466993,0.580376,0.983603,0.0027440864936062784,0.5049667965534274,0.49228911695296634
