task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,entry,kind,merge_class,ordering_index,is_released_ordering,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E2-cod-1532899-o00,E2,complete,,YbCeSe3,10,520.0,120,cod-1532899,experimental,RE,0,True,-53.24297676,-5.324297676,267.5151392909627,0.054871333999999904,16,True,1059.731,False,-53.24621224,-5.3246212239999995,267.5151392909627,0.0,1,False,270.824,False
E2-cod-1532899-o01,E2,complete,,YbCeSe3,10,520.0,120,cod-1532899,experimental,RE,1,False,-52.9962753,-5.29962753,275.34449278389565,0.030218187999999913,15,True,679.21,False,-53.00208565,-5.300208565,275.34449278389565,0.0,1,False,117.188,False
E2-cod-1532899-o02,E2,complete,,YbCeSe3,10,520.0,120,cod-1532899,experimental,RE,2,False,-52.89931231,-5.289931231,275.9677423686129,0.06783675299999956,34,True,2025.972,False,-52.90546367,-5.290546367,275.9677423686129,0.0,1,False,363.271,False
E2-cod-1532901-o00,E2,complete,,YbPrSe3,10,520.0,120,cod-1532901,experimental,RE,0,True,-49.77420138,-4.977420138,279.44725730354486,0.05080227600000029,29,True,672.34,False,-49.77854408,-4.977854408000001,279.44725730354486,0.0,1,False,36.992,False
E2-cod-1532901-o01,E2,complete,,YbPrSe3,10,520.0,120,cod-1532901,experimental,RE,1,False,-49.6645538,-4.96645538,293.3618708107855,0.20063391999999994,79,True,1991.012,False,-49.66616758,-4.966616758,293.3618708107855,0.0,1,False,49.012,False
E2-cod-1532901-o02,E2,complete,,YbPrSe3,10,520.0,120,cod-1532901,experimental,RE,2,False,-49.99894317,-4.999894317,289.7069653400812,0.16284186799999958,41,True,987.856,False,-50.00046396,-5.000046396,289.7069653400812,0.0,1,False,49.446,False
E2-da3fc5fe3a-o00,E2,complete,,Er4CuPdPt2,8,520.0,210,da3fc5fe3a,gnome,G10,0,True,-47.00810989,-5.87601373625,172.3516025364489,0.0009852437499997535,17,True,433.682,False,-47.00665241,-5.87583155125,172.3516025364489,0.0,1,False,59.368,False
E2-da3fc5fe3a-o01,E2,complete,,Er4CuPdPt2,8,520.0,210,da3fc5fe3a,gnome,G10,1,False,-46.95584044,-5.869480055,173.05615812892853,0.0036118175000003916,15,True,454.149,False,-46.95518593,-5.86939824125,173.05615812892853,0.0,1,False,57.617,False
E2-da3fc5fe3a-o02,E2,complete,,Er4CuPdPt2,8,520.0,210,da3fc5fe3a,gnome,G10,2,False,-47.04432348,-5.880540435,172.01676423511347,0.0021657775000001322,13,True,448.141,False,-47.04285091,-5.88035636375,172.01676423511347,0.0,1,False,61.698,False
E2-e26e41e868-o00,E2,complete,,ErTmCu2(AsP)2,8,520.0,192,e26e41e868,gnome,G15,0,True,-43.5040693,-5.4380086625,139.42815824819837,0.0011181049999997583,5,True,117.133,False,-43.53191679,-5.44148959875,139.42815824819837,0.0,1,False,26.185,False
E2-e26e41e868-o01,E2,complete,,ErTmCu2(AsP)2,8,520.0,192,e26e41e868,gnome,G15,1,False,-43.19344435,-5.39918054375,139.67415543784315,0.017746676249999815,16,True,327.86,False,-43.23182924,-5.403978655,139.67415543784315,0.0,1,False,32.99,False
E2-e26e41e868-o02,E2,complete,,ErTmCu2(AsP)2,8,520.0,192,e26e41e868,gnome,G15,2,False,-43.19072215,-5.39884026875,139.54918214440326,0.020003879999999974,13,True,299.511,False,-43.22881773,-5.40360221625,139.54918214440326,0.0,1,False,34.142,False
E2-e26e41e868-o03,E2,complete,,ErTmCu2(AsP)2,8,520.0,192,e26e41e868,gnome,G15,3,False,-42.80233159,-5.35029144875,140.19005244583784,0.04584246624999988,16,True,354.095,False,-42.85456908,-5.356821135,140.19005244583784,0.0,1,False,26.265,False
E2-e486492e85-o00,E2,complete,,AcAl2ZnGa,5,520.0,294,e486492e85,gnome,G13,0,True,-17.78021139,-3.5560422780000005,107.17185680712724,0.00021246800000014333,5,True,92.303,False,-17.77316081,-3.554632162,107.17185680712724,0.0,1,False,22.383,False
E2-e486492e85-o01,E2,complete,,AcAl2ZnGa,5,520.0,294,e486492e85,gnome,G13,1,False,-17.61684375,-3.5233687500000004,108.76069261278373,0.004381596000000343,8,True,143.782,False,-17.62898532,-3.5257970640000003,108.76069261278373,0.0,1,False,29.9,False
E2-e7fb13c8c6-o00,E2,complete,,Tc4MoPt2W,8,520.0,252,e7fb13c8c6,gnome,G6,0,True,-79.45496173,-9.93187021625,119.83861902069519,9.438374999959365e-05,4,True,56.012,False,-79.45297335,-9.93162166875,119.83861902069519,0.0,1,False,14.665,False
E2-e7fb13c8c6-o01,E2,complete,,Tc4MoPt2W,8,520.0,252,e7fb13c8c6,gnome,G6,1,False,-79.45598198,-9.9319977475,119.8865181433105,0.0020576574999999764,7,True,102.517,False,-79.4528787,-9.9316098375,119.8865181433105,0.0,1,False,14.194,False
E2-ed49d73522-o00,E2,complete,,TbTm4(TcO6)2,19,520.0,180,ed49d73522,gnome,RE,0,True,-158.88543542,-8.362391337894737,244.09847864756162,0.0013527300000003163,15,True,1041.12,False,-158.88549799,-8.362394631052632,244.09847864756162,0.0,1,False,158.679,False
E2-ed49d73522-o01,E2,complete,,TbTm4(TcO6)2,19,520.0,180,ed49d73522,gnome,RE,1,False,-158.88544388,-8.362391783157895,244.0291230378224,0.0058221373684201995,18,True,1189.965,False,-158.88540212,-8.36238958526316,244.0291230378224,0.0,1,False,152.743,False
E2-ed49d73522-o02,E2,complete,,TbTm4(TcO6)2,19,520.0,180,ed49d73522,gnome,RE,2,False,-158.86034856,-8.361070976842106,244.0890287439814,0.006095723684211407,19,True,1232.287,False,-158.86062446,-8.361085497894736,244.0890287439814,0.0,1,False,160.133,False
E2-ed49d73522-o03,E2,complete,,TbTm4(TcO6)2,19,520.0,180,ed49d73522,gnome,RE,3,False,-158.86020314,-8.361063323157895,244.0446397018746,0.006440520000000417,16,True,1137.481,False,-158.86043374,-8.36107546,244.0446397018746,0.0,1,False,99.263,False
E2-ed49d73522-o04,E2,complete,,TbTm4(TcO6)2,19,520.0,180,ed49d73522,gnome,RE,4,False,-158.78977347,-8.357356498421053,244.78617485468493,0.007097164736842088,17,True,1178.18,False,-158.79087419,-8.357414431052632,244.78617485468493,0.0,1,False,158.458,False
E2-ff3318ee91-o00,E2,complete,,TbSm(ScBi)2,6,520.0,196,ff3318ee91,gnome,RE,0,True,-33.3253599,-5.55422665,167.31898609262186,0.00010601666666687493,9,True,129.207,False,-33.32943563,-5.5549059383333335,167.31898609262186,0.0,1,False,19.53,False
E2-ff3318ee91-o01,E2,complete,,TbSm(ScBi)2,6,520.0,196,ff3318ee91,gnome,RE,1,False,-32.34926831,-5.391544718333333,168.25324863787975,0.09281434166666654,15,True,305.32,False,-32.35245542,-5.392075903333333,168.25324863787975,0.0,1,False,25.643,False
E2-ff3318ee91-o02,E2,complete,,TbSm(ScBi)2,6,520.0,196,ff3318ee91,gnome,RE,2,False,-32.79082038,-5.46513673,169.08372373422435,0.020392399999999828,14,True,281.446,False,-32.79554401,-5.465924001666667,169.08372373422435,0.0,1,False,37.694,False
E2-ff3318ee91-o03,E2,complete,,TbSm(ScBi)2,6,520.0,196,ff3318ee91,gnome,RE,3,False,-32.71807699,-5.453012831666666,168.76743387496765,0.03474915333333328,14,True,285.874,False,-32.71947141,-5.453245235,168.76743387496765,0.0,1,False,35.33,False
E2-ff3318ee91-o04,E2,complete,,TbSm(ScBi)2,6,520.0,196,ff3318ee91,gnome,RE,4,False,-32.79079102,-5.465131836666667,169.0670572738155,0.02390392833333384,19,True,333.925,False,-32.79549939,-5.465916565000001,169.0670572738155,0.0,1,False,34.156,False
E2-ff3318ee91-o05,E2,complete,,TbSm(ScBi)2,6,520.0,196,ff3318ee91,gnome,RE,5,False,-33.32537948,-5.554229913333334,167.29020835685643,0.0008031683333342698,9,True,156.109,False,-33.32943,-5.554905000000001,167.29020835685643,0.0,1,False,19.071,False
E2-ff3318ee91-o06,E2,complete,,TbSm(ScBi)2,6,520.0,196,ff3318ee91,gnome,RE,6,False,-32.71808962,-5.4530149366666665,168.79731388702848,0.03750271333333307,15,True,298.586,False,-32.71951816,-5.453253026666666,168.79731388702848,0.0,1,False,45.079,False
E2-exp01-o00,E2,complete,,YbNdS3,10,520.0,160,exp01,experimental,RE,0,True,-54.44246721,-5.444246721,242.49354696857927,0.051778947999999755,29,True,850.785,False,-54.44910242,-5.444910242000001,242.49354696857927,0.0,1,False,53.782,False
E2-exp01-o01,E2,complete,,YbNdS3,10,520.0,160,exp01,experimental,RE,1,False,-53.9090702,-5.39090702,252.2585508162945,0.12697880099999992,24,True,653.919,False,-53.91676878,-5.391676878,252.2585508162945,0.0,1,False,43.788,False
E2-exp01-o02,E2,complete,,YbNdS3,10,520.0,160,exp01,experimental,RE,2,False,-55.08532961,-5.508532961,252.00324590622952,0.19131935099999992,43,True,1156.608,False,-55.09090694,-5.509090694,252.00324590622952,0.0,1,False,52.693,False
E2-exp02-o00,E2,complete,,YbCeS3,10,520.0,160,exp02,experimental,RE,0,True,-58.55164353,-5.855164353,233.2502243175724,0.052799203,23,True,1109.086,False,-58.55287682,-5.855287682,233.2502243175724,0.0,1,False,122.095,False
E2-exp02-o01,E2,complete,,YbCeS3,10,520.0,160,exp02,experimental,RE,1,False,-58.34349813,-5.834349813,241.51059403586615,0.0134987670000001,14,True,613.286,False,-58.34813241,-5.834813241,241.51059403586615,0.0,1,False,114.546,False
E2-exp02-o02,E2,complete,,YbCeS3,10,520.0,160,exp02,experimental,RE,2,False,-58.23043343,-5.823043343,241.46600251977665,0.07325386400000014,41,True,2724.91,False,-58.2349892,-5.8234989200000005,241.46600251977665,0.0,1,False,285.097,False
E2-exp03-o00,E2,complete,,YbPrS3,10,520.0,160,exp03,experimental,RE,0,True,-54.44264019,-5.444264019,245.63542506065392,0.04924112699999981,29,True,823.074,False,-54.45088387,-5.445088387,245.63542506065392,0.0,1,False,61.768,False
E2-exp03-o01,E2,complete,,YbPrS3,10,520.0,160,exp03,experimental,RE,1,False,-53.82264214,-5.382264214,255.85779028433132,0.14940967699999988,25,True,671.573,False,-53.83033162,-5.383033162,255.85779028433132,0.0,1,False,43.894,False
E2-exp03-o02,E2,complete,,YbPrS3,10,520.0,160,exp03,experimental,RE,2,False,-55.04924741,-5.504924741,255.20247425747863,0.20229806799999964,46,True,1219.502,False,-55.05517773,-5.505517772999999,255.20247425747863,0.0,1,False,52.516,False
E2-exp04-o00,E2,complete,,YbNdSe3,10,520.0,120,exp04,experimental,RE,0,True,-49.73266217,-4.973266217,276.2618663462587,0.049505054999999486,32,True,766.478,False,-49.73697109,-4.973697109,276.2618663462587,0.0,1,False,42.936,False
E2-exp04-o01,E2,complete,,YbNdSe3,10,520.0,120,exp04,experimental,RE,1,False,-49.18085432,-4.918085432,286.1398312016831,0.11679488099999986,27,True,764.957,False,-49.19293327,-4.919293327,286.1398312016831,0.0,1,False,57.889,False
E2-exp04-o02,E2,complete,,YbNdSe3,10,520.0,120,exp04,experimental,RE,2,False,-49.98930401,-4.998930401,286.3650622211255,0.14564922399999958,44,True,1048.045,False,-49.99069629,-4.999069629,286.3650622211255,0.0,1,False,48.875,False
E2-exp05-o00,E2,complete,,YbSmSe3,10,520.0,120,exp05,experimental,RE,0,True,-49.55886466,-4.955886466,271.45383725496106,0.04674579399999956,28,True,582.436,False,-49.56324278,-4.956324278,271.45383725496106,0.0,1,False,43.705,False
E2-exp05-o01,E2,complete,,YbSmSe3,10,520.0,120,exp05,experimental,RE,1,False,-49.17103225,-4.917103225,279.2559191673698,0.07172031500000031,30,True,762.913,False,-49.18213207,-4.918213207,279.2559191673698,0.0,1,False,45.154,False
E2-exp05-o02,E2,complete,,YbSmSe3,10,520.0,120,exp05,experimental,RE,2,False,-49.87558133,-4.987558133,281.06860252333735,0.12039371299999999,44,True,961.081,False,-49.87680154,-4.987680154,281.06860252333735,0.0,1,False,46.111,False
